symbol,name,reportDate,fiscalDateEnding,estimate,currency
BLI,BLI,2023-11-06,2023-09-30,,USD
BLIAQ,BLIAQ,2023-11-10,2023-09-30,0,USD
BLIBQ,BLIBQ,2023-11-10,2023-10-31,0,USD
BLIN,Bridgeline Digital Inc,2023-12-18,2023-09-30,-0.06,USD
BLK,Blackrock Inc,2023-10-11,2023-09-30,8.82,USD
BLKB,Blackbaud Inc,2023-10-30,2023-09-30,0.97,USD
BLKCF,BLKCF,2023-10-02,2023-07-31,0,CAD
BLMN,Bloomin Brands Inc,2023-10-26,2023-09-30,0.44,USD
BLND,Blend Labs Inc - Class A,2023-11-10,2023-09-30,-0.09,USD
BLNK,Blink Charging Company,2023-11-06,2023-09-30,-0.48,USD
BLONF,BLONF,2023-11-23,2023-09-30,,CAD
BLOZF,BLOZF,2023-12-04,2023-10-31,,CAD
BLPG,BLPG,2023-11-06,2023-09-30,,USD
BLPH,Bellerophon Therapeutics Inc,2023-11-13,2023-09-30,-0.44,USD
BLRX,Bioline Rx Ltd,2023-11-15,2023-09-30,-0.17,USD
BLTE,Belite Bio Inc,2023-11-29,2023-09-30,-0.32,USD
BLU,BLU,2023-11-13,2023-09-30,-0.22,USD
BLUE,Bluebird bio Inc,2023-11-06,2023-09-30,-0.67,USD
BLX,Banco Latinoamericano De Comercio Exterior SA - Class E,2023-10-30,2023-09-30,1.13,USD
BLZE,Backblaze Inc - Class A,2023-11-07,2023-09-30,-0.37,USD
BMA,Banco Macro S.A.,2023-11-22,2023-09-30,2.01,USD
BMBL,Bumble Inc - Class A,2023-11-07,2023-09-30,0.07,USD
BMEA,Biomea Fusion Inc,2023-11-01,2023-09-30,-0.83,USD
BMI,Badger Meter Inc,2023-10-17,2023-09-30,0.81,USD
BMNM,BMNM,2023-11-08,2023-09-30,,USD
BMO,Bank of Montreal,2023-12-01,2023-10-31,2.22,USD
BMRA,Biomerica Inc,2023-10-11,2023-08-31,-0.02,USD
BMRC,Bank of Marin Bancorp,2023-10-23,2023-09-30,0.31,USD
BMRN,Biomarin Pharmaceutical Inc,2023-10-24,2023-09-30,0.22,USD
BMTLF,BMTLF,2023-11-23,2023-09-30,,CAD
BMTM,BMTM,2023-11-13,2023-09-30,,USD
BMTX,BM Technologies Inc - Class A,2023-11-13,2023-09-30,-0.26,USD
BMWYY,BMWYY,2023-11-03,2023-09-30,1.35,EUR
BMXI,BMXI,2023-11-01,2023-08-31,0.04,USD
BMY,Bristol-Myers Squibb Company,2023-10-26,2023-09-30,1.8,USD
BN,Brookfield Corporation - Class A,2023-11-09,2023-09-30,0.94,USD
BNCC,BNCC,2023-10-26,2023-09-30,,USD
BNCHD,BNCHD,2023-10-30,2023-09-30,,CAD
BNCHD,BNCHD,2023-10-30,2023-08-31,,CAD
BNCHF,BNCHF,2023-10-30,2023-08-31,,CAD
BNDSY,BNDSY,2023-10-26,2023-09-30,0.1509,EUR
BNED,Barnes & Noble Education Inc,2023-12-04,2023-10-31,0.43,USD
BNEFF,BNEFF,2023-11-08,2023-09-30,,CAD
BNET,BNET,2023-10-04,2023-09-30,-0.01,USD
BNFT,BNFT,2023-11-06,2023-09-30,,USD
BNGLF,BNGLF,2023-11-02,2023-09-30,,CAD
BNGO,Bionano Genomics Inc,2023-11-01,2023-09-30,-0.94,USD
BNKL,BNKL,2023-11-07,2023-09-30,,USD
BNL,Broadstone Net Lease Inc,2023-10-02,2023-09-30,0.16,USD
BNMV,BitNile Metaverse Inc,2023-11-20,2023-09-30,,USD
BNOX,Bionomics Ltd,2023-11-29,2023-09-30,-0.5947,USD
BNPQY,BNPQY,2023-10-26,2023-09-30,1.23,EUR
BNR,Burning Rock Biotech Ltd,2023-11-14,2023-09-30,-1.32,CNY
BNRE,Brookfield Reinsurance Ltd (Exchangeable Shares Sub Voting) - Class A,2023-11-06,2023-09-30,0,USD
BNS,Bank Of Nova Scotia,2023-11-28,2023-10-31,1.31,CAD
BNTC,Benitec Biopharma Inc,2023-11-08,2023-09-30,,USD
BNTX,BioNTech SE,2023-11-06,2023-09-30,1.14,EUR
BOAC,Bluescape Opportunities Acquisition Corp - Class A,2023-11-13,2023-09-30,,USD
BOALY,BOALY,2023-10-30,2023-09-30,0,AUD
BOC,Boston Omaha Corp - Class A,2023-11-08,2023-09-30,-0.03,USD
BODY,Beachbody Company Inc (The) - Class A,2023-11-07,2023-09-30,-0.07,USD
BOH,Bank of Hawaii Corp,2023-10-23,2023-09-30,0.97,USD
BOID,BOID,2023-10-25,2023-09-30,,USD
BOKF,BOK Financial Corp,2023-10-24,2023-09-30,2.11,USD
BOLT,Bolt Biotherapeutics Inc,2023-11-08,2023-09-30,-0.53,USD
BONTQ,BONTQ,2023-11-16,2023-10-31,0,USD
BOOM,DMC Global Inc,2023-11-01,2023-09-30,0.54,USD
BOOT,Boot Barn Holdings Inc,2023-10-24,2023-09-30,0.88,USD
BORR,Borr Drilling Ltd,2023-11-30,2023-09-30,0.0858,USD
BORT,BORT,2023-10-24,2023-09-30,,USD
BOSC,B.O.S. Better Online Solutions,2023-11-28,2023-09-30,,USD
BOTJ,Bank of James Financial Group Inc,2023-10-19,2023-09-30,,USD
BOTRF,BOTRF,2023-11-16,2023-09-30,0,HKD
BOTY,BOTY,2023-11-01,2023-09-30,0,USD
BOUYY,BOUYY,2023-10-31,2023-09-30,0.2844,EUR
BOWFF,BOWFF,2023-11-06,2023-09-30,,CAD
BOWL,Bowlero Corp - Class A,2023-11-16,2023-09-30,-0.04,USD
BOX,Box Inc - Class A,2023-11-28,2023-10-31,0.38,USD
BOXD,BOXD,2023-11-07,2023-09-30,,USD
BOXDQ,BOXDQ,2023-11-07,2023-09-30,-0.24,USD
BOXL,Boxlight Corporation - Class A,2023-11-07,2023-09-30,0.34,USD
BP,BP plc,2023-10-31,2023-09-30,1.3,USD
BPHLY,BPHLY,2023-10-19,2023-09-30,0.9153,PHP
BPIRY,BPIRY,2023-11-03,2023-09-30,0.1715,EUR
BPMC,Blueprint Medicines Corp,2023-10-30,2023-09-30,-2.38,USD
BPOP,Popular Inc,2023-10-24,2023-09-30,1.84,USD
BPRN,Princeton Bancorp Inc,2023-10-18,2023-09-30,,USD
BPT,BP Prudhoe Bay Royalty Trust,2023-11-06,2023-09-30,,USD
BPTH,Bio-Path Holdings Inc,2023-11-13,2023-09-30,-0.34,USD
BQ,Boqii Holding Ltd,2023-11-28,2023-09-30,,CNY
BR,Broadridge Financial Solutions Inc,2023-10-31,2023-09-30,0.97,USD
BRAG,Bragg Gaming Group Inc,2023-11-08,2023-09-30,-0.04,EUR
BRAXF,BRAXF,2023-11-27,2023-09-30,,CAD
BRBMF,BRBMF,2023-11-13,2023-09-30,,CAD
BRBR,Bellring Brands Inc,2023-11-16,2023-09-30,0.3908,USD
BRBS,Blue Ridge Bankshares Inc (VA),2023-10-25,2023-09-30,,USD
BRBW,BRBW,2023-10-18,2023-09-30,,USD
BRC,Brady Corp - Class A,2023-11-15,2023-10-31,0.93,USD
BRCC,BRC Inc - Class A,2023-11-09,2023-09-30,-0.01,USD
BRCNF,BRCNF,2023-11-06,2023-09-30,,CAD
BRCTF,BRCTF,2023-10-18,2023-09-30,,SEK
BRDCY,BRDCY,2023-11-09,2023-09-30,0.4989,JPY
BRDG,Bridge Investment Group Holdings Inc - Class A,2023-11-06,2023-09-30,0.2,USD
BRDS,Bird Global Inc - Class A,2023-11-13,2023-09-30,-1.25,USD
BREUF,BREUF,2023-11-06,2023-09-30,,CAD
BREZ,Breeze Holdings Acquisition Corp,2023-11-10,2023-09-30,,USD
BRFH,Barfresh Food Group Inc,2023-11-08,2023-09-30,-0.03,USD
BRFS,BRF S.A.,2023-11-13,2023-09-30,-0.0024,BRL
BRK-A,Berkshire Hathaway Inc - Class A,2023-11-03,2023-09-30,6131.12,USD
BRK-B,Berkshire Hathaway Inc - Class B,2023-11-06,2023-09-30,4.09,USD
BRKCF,BRKCF,2023-11-27,2023-09-30,,CAD
BRKL,Brookline Bancorp Inc,2023-10-24,2023-09-30,0.27,USD
BRKR,Bruker Corp,2023-11-01,2023-09-30,0.63,USD
BRLGF,BRLGF,2023-11-20,2023-09-30,,CAD
BRLI,Brilliant Acquisition Corp,2023-11-14,2023-09-30,,USD
BRLL,BRLL,2023-11-10,2023-09-30,,USD
BRLT,Brilliant Earth Group Inc Class A,2023-11-08,2023-09-30,0.04,USD
BRLXF,BRLXF,2023-11-07,2023-09-30,,CAD
BRMK,BRMK,2023-11-06,2023-09-30,,USD
BRO,Brown & Brown Inc,2023-10-23,2023-09-30,0.61,USD
BROS,Dutch Bros Inc - Class A,2023-11-16,2023-09-30,0.07,USD
BRP,BRP Group Inc - Class A,2023-11-06,2023-09-30,0.27,USD
BRPHF,BRPHF,2023-11-15,2023-09-30,-0.215,USD
BRQS,Borqs Technologies Inc,2023-11-21,2023-09-30,0,USD
BRRAY,BRRAY,2023-11-20,2023-09-30,0,ZAR
BRSF,BRSF,2023-11-14,2023-09-30,,USD
BRSP,BrightSpire Capital Inc - Class A,2023-10-31,2023-09-30,0.21,USD
BRST,BRST,2023-11-14,2023-09-30,,USD
BRT,BRT Apartments Corp,2023-11-06,2023-09-30,-0.1,USD
BRTHY,BRTHY,2023-11-07,2023-09-30,0.5815,JPY
BRTX,BioRestorative Therapies Inc,2023-11-14,2023-09-30,-0.68,USD
BRVO,BRVO,2023-11-01,2023-09-30,,USD
BRWXF,BRWXF,2023-11-15,2023-09-30,,CAD
BRX,Brixmor Property Group Inc,2023-10-30,2023-09-30,0.2,USD
BRY,Berry Corp,2023-10-31,2023-09-30,0.16,USD
BRYFF,BRYFF,2023-11-13,2023-09-30,,CAD
BRZE,Braze Inc - Class A,2023-12-11,2023-10-31,-0.13,USD
BSAC,Banco Santander Chile SA,2023-11-01,2023-09-30,0.4252,CLP
BSBK,Bogota Financial Corp,2023-10-26,2023-09-30,0.09,USD
BSBR,Banco Santander (Brasil) S.A.,2023-10-25,2023-09-30,0.162,BRL
BSEFY,BSEFY,2023-11-09,2023-09-30,0,JPY
BSEM,BSEM,2023-11-13,2023-09-30,-0.18,USD
BSET,Bassett Furniture Industries Inc,2023-09-28,2023-08-31,-0.58,USD
BSFC,Blue Star Foods Corp,2023-11-13,2023-09-30,,USD
BSFO,BSFO,2023-11-02,2023-09-30,,USD
BSGM,Biosig Technologies Inc,2023-11-09,2023-09-30,-0.08,USD
BSHI,BSHI,2023-11-20,2023-09-30,,USD
BSIG,BrightSphere Investment Group Inc,2023-11-01,2023-09-30,0.31,USD
BSM,Black Stone Minerals L.P.,2023-10-30,2023-09-30,0.45,USD
BSPM,BSPM,2023-11-17,2023-09-30,0,USD
BSQR,BSquare Corp,2023-11-08,2023-09-30,,USD
BSRR,Sierra Bancorp,2023-10-23,2023-09-30,0.67,USD
BSRTF,BSRTF,2023-11-06,2023-09-30,,USD
BSTG,BSTG,2023-11-13,2023-09-30,,USD
BSVN,Bank7 Corp,2023-10-24,2023-09-30,1,USD
BSX,Boston Scientific Corp,2023-10-26,2023-09-30,0.48,USD
BSY,Bentley Systems Inc - Class B,2023-11-06,2023-09-30,0.19,USD
BSYI,BSYI,2023-11-10,2023-09-30,0,CAD
BTAI,BioXcel Therapeutics Inc,2023-11-08,2023-09-30,-1.31,USD
BTBIF,BTBIF,2023-11-06,2023-09-30,,CAD
BTBT,Bit Digital Inc,2023-12-05,2023-09-30,-0.06,USD
BTCM,BIT Mining Ltd,2023-11-15,2023-09-30,,USD
BTCS,BTCS Inc,2023-11-09,2023-09-30,-0.08,USD
BTCWF,BTCWF,2023-11-29,2023-09-30,,CAD
BTCY,Biotricity Inc,2023-11-13,2023-09-30,-0.34,USD
BTDG,BTDG,2023-11-14,2023-09-30,,USD
BTE,Baytex Energy Corp,2023-11-02,2023-09-30,0.14,CAD
BTEGF,BTEGF,2023-11-02,2023-09-30,,CAD
BTG,B2gold Corp,2023-10-30,2023-09-30,0.07,USD
BTI,British American Tobacco Plc,2023-11-02,2023-09-30,0,GBP
BTLCY,BTLCY,2023-11-13,2023-09-30,0,GBP
BTMD,biote Corp - Class A,2023-11-07,2023-09-30,0.0933,USD
BTQNF,BTQNF,2023-11-21,2023-09-30,,CAD
BTQQF,BTQQF,2023-11-06,2023-09-30,,CAD
BTRS,BTRS,2023-11-06,2023-09-30,,USD
BTT,BlackRock Municipal 2030 Target Term Trust,2023-10-09,2023-09-30,,USD
BTTC,BTTC,2023-11-08,2023-09-30,,USD
BTTR,Better Choice Company Inc,2023-11-08,2023-09-30,-0.06,USD
BTTX,Better Therapeutics Inc,2023-11-13,2023-09-30,-0.21,USD
BTU,Peabody Energy Corp New,2023-11-01,2023-09-30,0.83,USD
BTVCY,BTVCY,2023-11-22,2023-09-30,0,USD
BTVRD,BTVRD,2023-11-28,2023-10-31,,CAD
BTVRF,BTVRF,2023-11-28,2023-10-31,,USD
BTWN,Bridgetown Holdings Ltd - Class A,2023-11-09,2023-09-30,,USD
BUD,Anheuser-Busch InBev SA/NV,2023-10-31,2023-09-30,0.8701,USD
BUDZ,BUDZ,2023-11-19,2023-09-30,,USD
BUKS,BUKS,2023-12-13,2023-10-31,,USD
BUR,Burford Capital Ltd,2023-11-29,2023-09-30,0.375,USD
BURBY,BURBY,2023-11-16,2023-09-30,0,GBP
BURCA,BURCA,2023-10-11,2023-09-30,,USD
BURL,Burlington Stores Inc,2023-11-20,2023-10-31,0.99,USD
BURU,Nuburu Inc - Class A,2023-11-06,2023-09-30,,USD
BUSE,First Busey Corp,2023-10-23,2023-09-30,0.52,USD
BV,BrightView Holdings Inc,2023-11-15,2023-09-30,0.34,USD
BVFL,BV Financial Inc,2023-10-20,2023-09-30,,USD
BVH,Bluegreen Vacations Holding Corporation - Class A,2023-11-01,2023-09-30,1.31,USD
BVN,Compania de Minas Buenaventura S.A.,2023-10-30,2023-09-30,0.11,USD
BVS,Bioventus Inc - Class A,2023-11-06,2023-09-30,-0.02,USD
BW,Babcock & Wilcox Enterprises Inc,2023-11-06,2023-09-30,0.03,USD
BWA,BorgWarner Inc,2023-11-02,2023-09-30,0.91,USD
BWAY,Brainsway Ltd,2023-11-15,2023-09-30,-0.0527,USD
BWB,Bridgewater Bancshares Inc,2023-10-25,2023-09-30,0.26,USD
BWEN,Broadwind Inc,2023-11-06,2023-09-30,0.08,USD
BWFG,Bankwell Financial Group Inc,2023-10-24,2023-09-30,0.93,USD
BWLKF,BWLKF,2023-11-15,2023-09-30,,USD
BWLVF,BWLVF,2023-11-09,2023-09-30,0,USD
BWMG,BWMG,2023-11-06,2023-09-30,,USD
BWMN,Bowman Consulting Group Ltd,2023-11-09,2023-09-30,0.175,USD
BWMX,Betterware de Mexico S.A.P.I. de C.V,2023-10-25,2023-09-30,0.35,MXN
BWTL,BWTL,2023-12-11,2023-10-31,,USD
BWV,Blue Water Biotech Inc,2023-11-10,2023-09-30,-0.09,USD
BWXT,BWX Technologies Inc,2023-11-06,2023-09-30,0.63,USD
BX,Blackstone Inc,2023-10-18,2023-09-30,1.03,USD
BXBLY,BXBLY,2023-10-19,2023-09-30,0,USD
BXC,Bluelinx Hldgs Inc,2023-10-30,2023-09-30,2.92,USD
BXLC,BXLC,2023-11-13,2023-09-30,,USD
BXMT,Blackstone Mortgage Trust Inc - Class A,2023-10-24,2023-09-30,0.69,USD
BXP,Boston Properties Inc,2023-11-01,2023-09-30,0.64,USD
BXRX,Baudax Bio Inc,2023-11-06,2023-09-30,-0.53,USD
BXSL,Blackstone Secured Lending Fund.,2023-11-06,2023-09-30,0.98,USD
BY,Byline Bancorp Inc,2023-10-25,2023-09-30,0.6,USD
BYD,Boyd Gaming Corp,2023-10-23,2023-09-30,1.47,USD
BYDDF,BYDDF,2023-11-01,2023-09-30,0.3069,CNY
BYDDY,BYDDY,2023-11-01,2023-09-30,0.6138,CNY
BYDGF,BYDGF,2023-11-07,2023-09-30,,USD
BYFC,Broadway Financial Corp,2023-10-31,2023-09-30,,USD
BYLTF,BYLTF,2023-11-07,2023-09-30,,CAD
BYND,Beyond Meat Inc,2023-11-07,2023-09-30,-0.84,USD
BYOC,BYOC,2023-11-13,2023-09-30,,USD
BYRN,Byrna Technologies Inc,2023-10-02,2023-08-31,-0.03,USD
BZ,Kanzhun Ltd,2023-11-29,2023-09-30,0.14,CNY
BZAMF,BZAMF,2023-11-21,2023-09-30,,CAD
BZDLF,BZDLF,2023-11-13,2023-09-30,,CAD
BZFD,BuzzFeed Inc - Class A,2023-11-13,2023-09-30,-0.08,USD
BZH,Beazer Homes USA Inc,2023-11-08,2023-09-30,1.39,USD
BZLFY,BZLFY,2023-10-24,2023-09-30,0.18,GBP
BZQIY,BZQIY,2023-11-21,2023-09-30,0.1504,ILS
BZUN,Baozun Inc,2023-11-27,2023-09-30,-0.2,CNY
BZZUY,BZZUY,2023-11-08,2023-09-30,0,EUR
C,Citigroup Inc,2023-10-13,2023-09-30,1.22,USD
CAAP,Corporacion America Airports S.A.,2023-11-15,2023-09-30,0.34,USD
CAAS,China Automotive Systems Inc,2023-11-13,2023-09-30,0.12,USD
CABA,Cabaletta Bio Inc,2023-11-08,2023-09-30,-0.39,USD
CABGY,CABGY,2023-10-31,2023-09-30,0.582,DKK
CABO,Cable One Inc,2023-11-01,2023-09-30,12.25,USD
CAC,Camden National Corp,2023-10-23,2023-09-30,0.75,USD
CACC,Credit Acceptance Corp,2023-10-30,2023-09-30,5.71,USD
CACH,CACH,2023-11-14,2023-09-30,0,USD
CACI,Caci International Inc,2023-10-24,2023-09-30,4.53,USD
CADE,Cadence Bancorporation - Class A,2023-10-23,2023-09-30,0.6,USD
CADL,Candel Therapeutics Inc,2023-11-10,2023-09-30,-0.2745,USD
CADNF,CADNF,2023-11-08,2023-09-30,,CAD
CAE,Cae Inc,2023-11-08,2023-09-30,0.15,CAD
CAFZF,CAFZF,2023-09-26,2023-07-31,,USD
CAG,Conagra Brands Inc,2023-10-05,2023-08-31,0.6,USD
CAH,Cardinal Health Inc,2023-11-02,2023-09-30,1.42,USD
CAHO,CAHO,2023-10-16,2023-09-30,,USD
CAJPY,CAJPY,2023-10-25,2023-09-30,0.465,JPY
CAKE,Cheesecake Factory Inc,2023-11-01,2023-10-31,0.466,USD
CAL,Caleres Inc,2023-11-20,2023-10-31,1.31,USD
CALA,CALA,2023-11-13,2023-09-30,-0.27,USD
CALB,California Bancorp,2023-10-25,2023-09-30,0.62,USD
CALC,CalciMedica Inc,2023-11-08,2023-09-30,-1.14,USD
CALIQ,CALIQ,2023-11-14,2023-09-30,0,USD
CALM,Cal-Maine Foods Inc,2023-10-03,2023-08-31,0.29,USD
CALT,Calliditas Therapeutics AB,2023-11-16,2023-09-30,-0.1182,SEK
CALX,Calix Inc,2023-10-23,2023-09-30,0.36,USD
CAMP,Calamp Corp,2023-12-18,2023-11-30,0.0925,USD
CAMT,Camtek Ltd,2023-11-06,2023-09-30,0.48,USD
CAMZF,CAMZF,2023-11-13,2023-10-31,,USD
CAN,Canaan Inc,2023-11-13,2023-09-30,-0.26,CNY
CANB,Can B Corp,2023-11-06,2023-09-30,0.15,USD
CANG,Cango Inc,2023-11-27,2023-09-30,0.61,CNY
CANO,Cano Health Inc - Class A,2023-11-07,2023-09-30,-0.19,USD
CANSF,CANSF,2023-11-06,2023-09-30,,CAD
CAPC,CAPC,2023-11-14,2023-09-30,,USD
CAPL,CrossAmerica Partners LP,2023-11-06,2023-09-30,0.2,USD
CAPR,Capricor Therapeutics Inc,2023-11-08,2023-09-30,-0.32,USD
CAPS,CAPS,2023-11-06,2023-09-30,0,USD
CAR,Avis Budget Group Inc,2023-10-30,2023-09-30,14.39,USD
CARA,Cara Therapeutics Inc,2023-11-06,2023-09-30,-0.51,USD
CARE,Carter Bankshares Inc,2023-10-26,2023-09-30,0.2975,USD
CARG,CarGurus Inc - Class A,2023-11-06,2023-09-30,0.26,USD
CARM,Carisma Therapeutics Inc,2023-11-06,2023-09-30,-0.56,USD
CARR,Carrier Global Corp,2023-10-25,2023-09-30,0.79,USD
CARS,Cars.com,2023-11-01,2023-09-30,0.1,USD
CARV,Carver Bancorp Inc,2023-11-13,2023-09-30,,USD
CASA,Casa Systems Inc,2023-11-01,2023-09-30,0.01,USD
CASH,Pathward Financial Inc,2023-10-25,2023-09-30,1.25,USD
CASI,CASI Pharmaceuticals Inc,2023-11-13,2023-09-30,,USD
CASS,Cass Information Systems Inc,2023-10-11,2023-09-30,0.59,USD
CASY,Casey`s General Stores Inc,2023-12-04,2023-10-31,3.49,USD
CAT,Caterpillar Inc,2023-10-25,2023-09-30,4.69,USD
CATC,Cambridge Bancorp,2023-10-16,2023-09-30,1.06,USD
CATO,Cato Corp - Class A,2023-11-15,2023-10-31,,USD
CATV,CATV,2023-11-15,2023-09-30,,USD
CATX,Perspective Therapeutics Inc,2023-11-09,2023-09-30,-0.03,USD
CATY,Cathay General Bancorp,2023-10-23,2023-09-30,1.1,USD
CAVA,Cava Group Inc,2023-11-29,2023-09-30,-0.01,USD
CAWLF,CAWLF,2023-10-26,2023-09-30,,CAD
CAWW,CAWW,2023-10-12,2023-08-31,,USD
CB,Chubb Ltd,2023-10-24,2023-09-30,4.3,USD
CBAN,Colony Bankcorp Inc,2023-10-18,2023-09-30,0.32,USD
CBAT,CBAK Energy Technology Inc,2023-11-13,2023-09-30,,USD
CBAY,Cymabay Therapeutics Inc,2023-11-13,2023-09-30,-0.3,USD
CBD,Companhia Brasileira De Distribuicao. ADR (),2023-10-31,2023-09-30,-0.2236,USD
CBDS,CBDS,2023-11-14,2023-09-30,,USD
CBDY,CBDY,2023-11-07,2023-09-30,,USD
CBFV,CB Financial Services Inc,2023-10-25,2023-09-30,0.58,USD
CBGZF,CBGZF,2023-11-27,2023-09-30,,CAD
CBIH,CBIH,2023-11-01,2023-09-30,0,USD
CBIO,Catalyst Biosciences Inc,2023-11-13,2023-09-30,-0.05,USD
CBKCQ,CBKCQ,2023-12-07,2023-10-31,0,USD
CBKM,CBKM,2023-10-23,2023-09-30,,USD
CBL,CBL& Associates Properties Inc - New,2023-11-13,2023-09-30,,USD
CBLRF,CBLRF,2023-11-17,2023-09-30,0,USD
CBNK,Capital Bancorp Inc,2023-10-18,2023-09-30,0.59,USD
CBNT,CBNT,2023-11-13,2023-09-30,,USD
CBOE,Cboe Global Markets Inc,2023-11-02,2023-09-30,1.8,USD
CBRE,CBRE Group Inc - Class A,2023-10-25,2023-09-30,0.79,USD
CBRI,CBRI,2023-11-07,2023-09-30,0,USD
CBSH,Commerce Bancshares Inc,2023-10-16,2023-09-30,0.91,USD
CBT,Cabot Corp,2023-11-06,2023-09-30,1.48,USD
CBTN,CBTN,2023-11-08,2023-09-30,,USD
CBTTF,CBTTF,2023-11-27,2023-09-30,,CAD
CBU,Community Bank System Inc,2023-10-23,2023-09-30,0.88,USD
CBUS,Cibus Global Ltd. Class A,2023-11-01,2023-09-30,-1.13,USD
CBUTF,CBUTF,2023-11-27,2023-09-30,,CAD
CBWBF,CBWBF,2023-11-30,2023-10-31,,USD
CBWTF,CBWTF,2023-11-13,2023-09-30,,CAD
CBYDF,CBYDF,2023-11-07,2023-09-30,,CAD
CBZ,Cbiz Inc,2023-10-25,2023-09-30,0.59,USD
CC,Chemours Company,2023-10-23,2023-09-30,0.81,USD
CCAP,Crescent Capital BDC Inc,2023-11-07,2023-09-30,0.56,USD
CCB,Coastal Financial Corp,2023-10-25,2023-09-30,0.95,USD
CCBC,CCBC,2023-10-19,2023-09-30,,USD
CCBG,Capital City Bank Group Inc,2023-10-23,2023-09-30,0.84,USD
CCCC,C4 Therapeutics Inc,2023-11-01,2023-09-30,-0.66,USD
CCCS,CCC Intelligent Solutions Holdings Inc,2023-11-08,2023-09-30,0.0774,USD
CCDBF,CCDBF,2023-11-07,2023-09-30,,CAD
CCEL,Cryo-Cell International Inc,2023-10-12,2023-08-31,-0.06,USD
CCEP,Coca-Cola Europacific Partners Plc,2023-11-01,2023-09-30,1.07,EUR
CCF,Chase Corp,2023-11-08,2023-08-31,,USD
CCFN,CCFN,2023-11-01,2023-09-30,,USD
CCGM,CCGM,2023-11-15,2023-09-30,0,USD
CCGY,CCGY,2023-11-10,2023-09-30,0,USD
CCHWF,CCHWF,2023-11-13,2023-09-30,-0.05,USD
CCI,Crown Castle Inc,2023-10-17,2023-09-30,0.79,USD
CCJ,Cameco Corp,2023-10-25,2023-09-30,0.09,USD
CCK,Crown Holdings Inc,2023-10-23,2023-09-30,1.73,USD
CCL,Carnival Corp (Paired Stock),2023-09-29,2023-08-31,0.75,USD
CCL,Carnival Corp (Paired Stock),2023-12-19,2023-11-30,-0.0931,USD
CCLD,CareCloud Inc,2023-11-01,2023-09-30,-0.33,USD
CCLP,CSI Compressco LP,2023-11-01,2023-09-30,,USD
CCM,Concord Medical Services,2023-11-16,2023-09-30,0,CNY
CCNB,CCNB,2023-10-24,2023-09-30,,USD
CCNCF,CCNCF,2023-11-06,2023-09-30,,CAD
CCNE,CNB Financial Corp (PA),2023-10-16,2023-09-30,0.55,USD
CCO,Clear Channel Outdoor Holdings Inc,2023-11-06,2023-09-30,-0.07,USD
CCOEY,CCOEY,2023-11-01,2023-09-30,0.3166,JPY
CCOI,Cogent Communications Holdings Inc,2023-11-01,2023-09-30,-1.01,USD
CCORF,CCORF,2023-10-31,2023-09-30,,CAD
CCOZY,CCOZY,2023-10-25,2023-09-30,1.15,CNY
CCPUF,CCPUF,2023-11-17,2023-09-30,0,CAD
CCRD,CoreCard Corporation - Class A,2023-10-31,2023-09-30,0.32,USD
CCRN,Cross Country Healthcares Inc,2023-10-31,2023-09-30,0.4,USD
CCS,Century Communities Inc,2023-10-24,2023-09-30,1.64,USD
CCSI,Consensus Cloud Solutions Inc,2023-11-10,2023-09-30,1.29,USD
CCU,Compania Cervecerias Unidas S.A.,2023-11-08,2023-09-30,111.41,CLP
CCUR,CCUR,2023-11-09,2023-09-30,0,USD
CD,Chindata Group Holdings Ltd,2023-11-20,2023-09-30,0.1,CNY
CDAK,CDAK,2023-11-01,2023-09-30,-0.2386,USD
CDAKQ,CDAKQ,2023-11-01,2023-09-30,-0.2386,USD
CDAY,Ceridian HCM Holding Inc,2023-10-31,2023-09-30,0.3,USD
CDDRF,CDDRF,2023-11-01,2023-09-30,,CAD
CDE,Coeur Mining Inc,2023-11-07,2023-09-30,-0.01,USD
CDEVY,CDEVY,2023-11-14,2023-09-30,0,SGD
CDLX,Cardlytics Inc,2023-10-30,2023-09-30,-0.01,USD
CDMO,Avid Bioservices Inc,2023-12-04,2023-10-31,-0.06,USD
CDNA,Caredx Inc,2023-11-01,2023-09-30,-0.35,USD
CDNAF,CDNAF,2023-11-09,2023-09-30,,CAD
CDNS,Cadence Design Systems Inc,2023-10-23,2023-09-30,1.2,USD
CDP,COPT Defense Properties,2023-10-25,2023-09-30,0.28,USD
CDPYF,CDPYF,2023-11-06,2023-09-30,,CAD
CDRE,Cadre Holdings Inc,2023-11-08,2023-09-30,0.21,USD
CDRO,Codere Online Luxembourg S.A,2023-11-14,2023-09-30,,EUR
CDTAF,CDTAF,2023-10-26,2023-09-30,,USD
CDTI,CDTI,2023-11-16,2023-09-30,0,USD
CDTX,Cidara Therapeutics Inc,2023-11-01,2023-09-30,-0.15,USD
CDUAF,CDUAF,2023-10-25,2023-09-30,,CAD
CDVIQ,CDVIQ,2023-11-09,2023-09-30,0,USD
CDW,CDW Corp,2023-10-31,2023-09-30,2.61,USD
CDXC,Chromadex Corp,2023-10-31,2023-09-30,-0.03,USD
CDXFF,CDXFF,2023-11-14,2023-09-30,,CAD
CDXI,CDXI,2023-11-13,2023-09-30,0,USD
CDXS,Codexis Inc,2023-11-01,2023-09-30,-0.32,USD
CDZI,Cadiz Inc,2023-11-13,2023-09-30,-0.06,USD
